"Gift Card Invoice with specified ID ""%1"" not found.","Loyalty Voucher Invoice with specified ID ""%1"" not found."
"Gift Card Invoice not found.","Loyalty Voucher Invoice not found."
"Unable to save Gift Card Invoice with ID %1. Error: %2","Unable to save Loyalty Voucher Invoice with ID %1. Error: %2"
"Unable to save new Gift Card Invoice. Error: %1","Unable to save new Loyalty Voucher Invoice. Error: %1"
"Unable to remove Gift Card Invoice with ID %1. Error: %2","Unable to remove Loyalty Voucher Invoice with ID %1. Error: %2"
"Unable to remove Gift Card Invoice. Error: %1","Unable to remove Loyalty Voucher Invoice. Error: %1"
"Gift Card Order with specified ID ""%1"" not found.","Loyalty Voucher Order with specified ID ""%1"" not found."
"Gift Card Order not found.","Loyalty Voucher Order not found."
"Unable to save Gift Card Order with ID %1. Error: %2","Unable to save Loyalty Voucher Order with ID %1. Error: %2"
"Unable to save new Gift Card Order. Error: %1","Unable to save new Loyalty Voucher Order. Error: %1"
"Unable to remove Gift Card Order with ID %1. Error: %2","Unable to remove Loyalty Voucher Order with ID %1. Error: %2"
"Unable to remove Gift Card Order. Error: %1","Unable to remove Loyalty Voucher Order. Error: %1"
"Gift Card Quote with specified ID ""%1"" not found.","Loyalty Voucher Quote with specified ID ""%1"" not found."
"Gift Card Quote not found.","Loyalty Voucher Quote not found."
"Unable to save Gift Card Quote with ID %1. Error: %2","Unable to save Loyalty Voucher Quote with ID %1. Error: %2"
"Unable to save new Gift Card Quote. Error: %1","Unable to save new Loyalty Voucher Quote. Error: %1"
"Unable to remove Gift Card Quote with ID %1. Error: %2","Unable to remove Loyalty Voucher Quote with ID %1. Error: %2"
"Unable to remove Gift Card Quote. Error: %1","Unable to remove Loyalty Voucher Quote. Error: %1"
Inactive,Inactive
Active,Active
Expired,Expired
Used,Used
"No code pools found.","No code pools found."
"Expiry Date: %1","Expiry Date: %1"
"Failed to apply this gift card.","Failed to apply this Loyalty Voucher."
"Failed to remove this gift card.","Failed to remove this Loyalty Voucher."
"Gift Card processing error: %1","Loyalty Voucher processing error: %1"
"%1 (in store's base currency) has been returned to Gift Card Account(s) %2 due to order cancellation","%1 (in store's base currency) has been returned to Loyalty Voucher Account(s) %2 due to order cancellation"
"%1 (in store's base currency) has been refunded to Gift Card Account(s) %2.","%1 (in store's base currency) has been refunded to Loyalty Voucher Account(s) %2."
"Failed to create account from invoice.","Failed to create account from invoice."
Apply,Apply
"Remove Gift Cards Code","Remove Loyalty Vouchers Code"
Remove,Remove
"Apply Gift Card Code","Apply Loyalty Voucher Code"
Add,Add
"Enter your Code","Enter your Code"
"Gift Codes","Gift Codes"
Code,Code
Status,Status
"Current Balance","Current Balance"
"Valid Till","Valid Till"
Action,Action
"Check Status","Check Status"
"Add Code","Add Code"
"Check Gift Card Code Status","Check Loyalty Voucher Code Status"
"Provided service call does not exist.","Provided service call does not exist."
"Enter Gift Card Code.","Enter Loyalty Voucher Code."
"Are you sure you want to remove?","Are you sure you want to remove?"
"Enter Gift Card Code","Enter Loyalty Voucher Code"
"Wrong Gift Card Code.","Wrong Loyalty Voucher Code."
"You have no active Gift Card Codes added to your customer account.","You have no active Loyalty Voucher Codes added to your customer account."
"Gift Card %1 was removed.","Loyalty Voucher %1 was removed."
"Gift Card Code is available","Loyalty Voucher Code is available"
"Allow Refund for Orders Paid with Gift Card","Allow Refund for Orders Paid with Loyalty Voucher"
"Enable the setting to refund Gift Card balance. Please note, only the initial balance value may be returned to Loyalty Voucher Account upon refund process","Enable the setting to refund Gift Card balance. Please note, only the initial balance value may be returned to Loyalty Voucher Account upon refund process"
"Gift Card Account","Loyalty Voucher Account"
"Position On Checkout","Position On Checkout"
"View On Checkout","View On Checkout"
Back,Back
Save,Save
"Save and Continue Edit","Save and Continue Edit"
"General Information","General Information"
"Order ID","Order ID"
"Gift Card Code","Loyalty Voucher Code"
Website,Website
"Initial Code Value","Initial Code Value"
"Expiry Date","Expiry Date"
Comment,Comment
"Send Gift Card","Send Loyalty Voucher"
"Recipient Name","Recipient Name"
"Recipient Email","Recipient Email"
"Please note that Recipient Email will be displayed in Gift Code Accounts grid in case the Loyalty Voucher is saved and sent to the recipient.","Please note that Recipient Email will be displayed in Gift Code Accounts grid in case the Loyalty Voucher is saved and sent to the recipient."
"Send from the Following Store View","Send from the Following Store View"
"Order History","Order History"
Information,Information
"Code Pool","Code Pool"
Image,Image
"Please, choose image..","Please, choose image.."
Balance,Balance
"Accounts Qty to Generate","Accounts Qty to Generate"
"Add New","Add New"
Delete,Delete
"Delete Account(s)","Delete Account(s)"
"Are you sure you want to delete selected Account(s)?","Are you sure you want to delete selected Account(s)?"
ID,ID
"Gift Code","Gift Code"
